Duration (in seconds),Participation,Q1,Q2,Q3,Q4,Q5,I6,I7,I8,I9,I10,I11,I12,U6,U7,U8,U9,U10,U11,U12
113,Yes,Female,Some College,Caucasian or White,Other,2,,,,,,,,1.7,1,1,3.5,1,2.7,4.9
115,Yes,Female,Master's Degree,Caucasian or White,Hillary Clinton,4.9,,,,,,,,1,1,2,4.2,2.9,1,4
67,Yes,Female,Some College,Caucasian or White,Donald Trump,3.2,,,,,,,,2.6,3.3,3.5,2.4,3.1,2.7,2.5
98,Yes,Female,High School,Caucasian or White,Did not vote,7,,,,,,,,5.9,2.4,7,2,1.7,1.3,3.8
140,Yes,Male,Bachelor's Degree,Caucasian or White,Hillary Clinton,6,1,1,1,7,7,4,4,,,,,,,
141,Yes,Female,Bachelor's Degree,Caucasian or White,Hillary Clinton,2.8,,,,,,,,1.1,1,3.6,4.4,3,3.1,4.2
74,Yes,Male,High School,Caucasian or White,Other,6,,,,,,,,1,1,1,6.9,7,7,7
162,Yes,Male,Some College,Caucasian or White,Donald Trump,3.9,7,1,7,1,1,1,1,,,,,,,
147,Yes,Female,Bachelor's Degree,Caucasian or White,Hillary Clinton,4,1,1,2,5,6,6,4,,,,,,,
166,Yes,Male,Some College,Hispanic or Latino,Did not vote,2,1,1,1,1,1,1,6,,,,,,,
143,Yes,Female,High School,Caucasian or White,Donald Trump,6.9,5.1,5,5.4,2.5,4.3,5.1,4.1,,,,,,,
47,Yes,Male,Bachelor's Degree,Caucasian or White,Donald Trump,4.2,,,,,,,,4.6,3.8,3.7,3.4,5.5,3.1,5
164,Yes,Male,Some College,Caucasian or White,Donald Trump,7,,,,,,,,6.3,6.4,6.8,1.1,1,1.1,1.9
86,Yes,Male,Bachelor's Degree,Caucasian or White,Other,4.5,,,,,,,,3.6,4,2.6,4.2,4.1,3.8,3.7
180,Yes,Female,Bachelor's Degree,Caucasian or White,Hillary Clinton,4.1,1.1,1,2.3,3.6,4.4,2.3,5.8,,,,,,,
210,Yes,Female,High School,Caucasian or White,Hillary Clinton,5.7,,,,,,,,1.9,3.1,2.2,5.8,6.5,5.2,6.3
154,Yes,Male,Some College,Caucasian or White,Hillary Clinton,1.5,1,1,1,6,7,4,7,,,,,,,
199,Yes,Female,High School,Caucasian or White,Did not vote,6.5,,,,,,,,1,1,1,5.5,5.4,5.5,4.2
192,Yes,Male,High School,Caucasian or White,Did not vote,2.1,7,6.3,7,1,1,1,4.1,,,,,,,
135,Yes,Male,Bachelor's Degree,Caucasian or White,Donald Trump,7,7,7,7,1,1,1,4,,,,,,,
217,Yes,Male,Bachelor's Degree,Caucasian or White,Did not vote,5.1,,,,,,,,1,7,1,5.5,4.4,3.5,2.5
104,Yes,Female,Bachelor's Degree,Caucasian or White,Hillary Clinton,6,2,1.1,1.1,3.2,3.1,3.3,7,,,,,,,
105,Yes,Female,High School,Caucasian or White,Hillary Clinton,7,1,1,1,7,7,7,7,,,,,,,
102,Yes,Female,Bachelor's Degree,Caucasian or White,Hillary Clinton,6.7,1.1,1.1,1.1,6.9,6.9,6.8,7,,,,,,,
239,Yes,Male,Master's Degree,Caucasian or White,Donald Trump,6,7,2.9,1.4,1.3,1.6,1.1,6.1,,,,,,,
147,Yes,Female,Bachelor's Degree,Caucasian or White,Did not vote,5,1,1,1,2,1,1,4,,,,,,,
61,Yes,Male,Bachelor's Degree,Caucasian or White,Donald Trump,5,3.9,4.3,5.2,2.6,4.5,4.3,2.9,,,,,,,
97,Yes,Male,Bachelor's Degree,Caucasian or White,Other,4.5,1.8,1.4,3.6,5,4.6,4.4,4,,,,,,,
231,Yes,Female,Master's Degree,Hispanic or Latino,Donald Trump,7,,,,,,,,7,7,7,1,1,1,7
236,Yes,Male,High School,Caucasian or White,Donald Trump,4,,,,,,,,1,4,7,1,1,1,6
183,Yes,Male,Some College,Caucasian or White,Did not vote,7,7,5.9,7,1,1,1,1.9,,,,,,,
188,Yes,Male,High School,Caucasian or White,Other,4.6,,,,,,,,2.3,6,4.4,1.6,1,1,5.2
128,Yes,Female,Some College,Caucasian or White,Donald Trump,6.1,,,,,,,,5.9,5.3,6.2,1,1,1,1.9
258,Yes,Female,Bachelor's Degree,Caucasian or White,Hillary Clinton,1.1,1,1,3.2,1.8,3.9,1.4,4,,,,,,,
100,Yes,Female,Bachelor's Degree,Asian,Donald Trump,4.5,3.7,3.5,5.5,4.9,5.2,5.4,4.7,,,,,,,
109,Yes,Male,Bachelor's Degree,Caucasian or White,Hillary Clinton,4,,,,,,,,1,1,1,5,7,6,5
160,Yes,Male,Bachelor's Degree,Caucasian or White,Hillary Clinton,1.9,,,,,,,,1,1,1.2,3.8,3.8,3.8,6
295,Yes,Male,Some College,Hispanic or Latino,Hillary Clinton,7,,,,,,,,1,1,1,7,7,7,7
287,Yes,Male,Bachelor's Degree,Asian,Did not vote,7,,,,,,,,3.9,3.9,5.8,1.2,1.5,1.3,4
80,Yes,Male,Some College,African American or Black,Donald Trump,4.1,3.9,4.2,6.1,6.4,5.7,6.4,4.5,,,,,,,
112,Yes,Male,Some College,Caucasian or White,Other,5.5,,,,,,,,2.1,1.4,4.5,2.4,3,1.5,4.2
116,Yes,Female,Bachelor's Degree,Caucasian or White,Donald Trump,6.9,6.9,6.5,4,1.1,1.1,1.1,5.1,,,,,,,
203,Yes,Male,Master's Degree,Caucasian or White,Hillary Clinton,7,,,,,,,,3.8,1.7,3.7,5.4,5.4,7,6.3
123,Yes,Female,Some College,Caucasian or White,Hillary Clinton,6.6,,,,,,,,1,1,1,7,7,7,4
166,Yes,Male,Some College,Hispanic or Latino,Other,6.5,1.8,1.4,1.5,6,5.7,3.7,4.1,,,,,,,
116,Yes,Female,Master's Degree,Caucasian or White,Donald Trump,1.7,,,,,,,,2.2,1.2,3.2,1.9,1.8,1.5,3
303,Yes,Male,Some College,Caucasian or White,Did not vote,4.9,1,1,1,6.5,7,5.8,4,,,,,,,
143,Yes,Female,Master's Degree,Caucasian or White,Donald Trump,6,,,,,,,,6.8,5.5,5.8,1,1,1,2.9
95,Yes,Male,Some College,Caucasian or White,Hillary Clinton,5.7,2.9,3.4,3.5,5,5.2,4.7,4.3,,,,,,,
176,Yes,Male,Bachelor's Degree,Caucasian or White,Donald Trump,7,7,7,7,1,1,1,1,,,,,,,
324,Yes,Female,Bachelor's Degree,African American or Black,Donald Trump,4.8,,,,,,,,5.4,6.7,6.1,3.3,4.7,3.1,4
122,Yes,Male,Bachelor's Degree,Caucasian or White,Did not vote,4,4.4,4,4.8,4,4.2,3.5,4,,,,,,,
153,Yes,Male,High School,Caucasian or White,Hillary Clinton,2,1,1,4,1.5,1,1,3,,,,,,,
101,Yes,Male,Master's Degree,Caucasian or White,Hillary Clinton,6.1,1,1,1,6.5,6.5,6.5,6.4,,,,,,,
123,Yes,Female,Some College,Caucasian or White,Donald Trump,6,6,2,4.1,1.1,1.1,1.1,4.9,,,,,,,
173,Yes,Male,Some College,Caucasian or White,Hillary Clinton,5.4,1,1,2,7,7,2,6.5,,,,,,,
119,Yes,Male,Master's Degree,Caucasian or White,Hillary Clinton,4.1,,,,,,,,1.4,1,1.8,6.2,4.8,4.6,4.1
204,Yes,Male,Bachelor's Degree,Caucasian or White,Hillary Clinton,5.5,1,1,1,7,7,6.3,4,,,,,,,
148,Yes,Female,Some College,Caucasian or White,Did not vote,5.3,1,1,1,3.1,2.3,2.3,4,,,,,,,
111,Yes,Female,Bachelor's Degree,Native American or American Indian,Donald Trump,6.3,,,,,,,,5.8,6.7,6.5,6.5,6.2,6.2,4.9
289,Yes,Female,High School,Other,Donald Trump,5,,,,,,,,5,2,2.1,4.9,5,1.5,6.4
151,Yes,Female,Some College,Hispanic or Latino,Hillary Clinton,7,1,1,1,7,7,7,7,,,,,,,
178,Yes,Male,Master's Degree,Hispanic or Latino,Donald Trump,7,,,,,,,,6.2,6.8,6.3,6.3,6.5,6.4,5.6
152,Yes,Female,Some College,Caucasian or White,Did not vote,5.8,,,,,,,,1,1,1,6.1,6.1,6.2,6.6
169,Yes,Female,Some College,Caucasian or White,Did not vote,5,,,,,,,,1.5,1,1.5,1.5,1.5,1,4
154,Yes,Male,Bachelor's Degree,Caucasian or White,Donald Trump,4.1,,,,,,,,3.6,4.2,3.9,3.6,3.8,4.4,3.7
360,Yes,Male,Some College,Hispanic or Latino,Hillary Clinton,7,,,,,,,,1,1,1.1,7,7,7,7
387,Yes,Female,Some College,Caucasian or White,Other,5.5,5,1,1.5,1.5,1.5,1,6.5,,,,,,,
235,Yes,Female,Master's Degree,Caucasian or White,Donald Trump,3.1,4.2,4.2,4.3,5.8,2.8,3.4,3.1,,,,,,,
257,Yes,Male,Master's Degree,Caucasian or White,Hillary Clinton,4.1,,,,,,,,3.4,4.5,3.6,3.9,2.6,5.6,5.3
132,Yes,Male,Master's Degree,African American or Black,Donald Trump,5.8,5.4,5.2,6.2,5.3,5.4,5.1,6,,,,,,,
156,Yes,Female,Bachelor's Degree,Caucasian or White,Hillary Clinton,2.4,1,1,1,6.6,5.5,4.2,6.2,,,,,,,
193,Yes,Male,Some College,Caucasian or White,Donald Trump,6.1,,,,,,,,4.4,6,6.3,1,1,1,3
251,Yes,Female,Bachelor's Degree,Caucasian or White,Did not vote,5.1,,,,,,,,2.1,1,1.2,1.7,1.7,1,2.3
242,Yes,Female,Bachelor's Degree,Caucasian or White,Donald Trump,6.1,,,,,,,,5.7,6.4,6.3,6.5,5.2,5.7,6.1
186,Yes,Female,Bachelor's Degree,Caucasian or White,Hillary Clinton,5.5,1,1,1,5.5,5.5,1,6,,,,,,,
97,Yes,Male,Bachelor's Degree,Caucasian or White,Donald Trump,3.5,,,,,,,,4.1,4.1,4.1,4.3,4.6,4.4,3.8
312,Yes,Female,Bachelor's Degree,Caucasian or White,Donald Trump,5.4,,,,,,,,6.1,5.7,5.6,5.8,5.7,5.2,6
65,Yes,Female,High School,Asian,Hillary Clinton,4.1,4.9,3.2,3.1,3.2,3.7,5,4.6,,,,,,,
154,Yes,Female,Some College,Caucasian or White,Hillary Clinton,5,,,,,,,,1,1,1,7,7,5,7
68,Yes,Female,Some College,Caucasian or White,Hillary Clinton,5.5,1,1,1,6.5,5.7,6.5,5,,,,,,,
118,Yes,Male,Bachelor's Degree,Caucasian or White,Hillary Clinton,7,2.8,3.3,3,2.4,2.9,2.9,3.9,,,,,,,
222,Yes,Female,Some College,Caucasian or White,Hillary Clinton,4.1,,,,,,,,1,1,1.3,5.2,2.8,2.3,6.1
141,Yes,Male,Some College,Caucasian or White,Hillary Clinton,3.9,,,,,,,,1,1,1.1,5.5,4.3,4.6,6.5
141,Yes,Male,Bachelor's Degree,Caucasian or White,Donald Trump,6,,,,,,,,6.1,5,6.4,1.7,1.1,1.2,3
239,Yes,Male,High School,Caucasian or White,Did not vote,6.1,,,,,,,,7,4,7,5,4.5,1,4
216,Yes,Female,Bachelor's Degree,Caucasian or White,Hillary Clinton,4.1,,,,,,,,2.5,1,3,2.9,2.4,1,1.8
145,Yes,Male,Bachelor's Degree,Caucasian or White,Other,7,1,1,1,7,7,7,5.1,,,,,,,
205,Yes,Female,Some College,Caucasian or White,Donald Trump,6.9,7,5,6.1,1,1,1,1.1,,,,,,,
356,Yes,Female,Master's Degree,Caucasian or White,Donald Trump,6,5.2,4.9,5.5,3.6,2.8,3.9,5.1,,,,,,,
138,Yes,Female,Some College,African American or Black,Hillary Clinton,4.7,,,,,,,,5,4.1,4.2,4.4,4.1,4.5,4.8
286,Yes,Male,Some College,Caucasian or White,Other,7,,,,,,,,7,4,7,1,1,1,4
181,Yes,Male,Bachelor's Degree,African American or Black,Donald Trump,6.5,6.6,6.3,6.8,4.7,5.1,6.3,7,,,,,,,
210,Yes,Female,Some College,Caucasian or White,Other,4,4,1,4,3,2.9,4.7,5.8,,,,,,,
139,Yes,Female,Some College,Asian,Hillary Clinton,5.9,,,,,,,,1,1,1,7,7,5.9,6.7
228,Yes,Male,Some College,Caucasian or White,Other,3,1,1,1,7,5,4.9,4.1,,,,,,,
86,Yes,Male,Bachelor's Degree,Caucasian or White,Donald Trump,5.1,4.6,4.9,4.3,4.7,3.9,5.5,5.7,,,,,,,
423,Yes,Male,Master's Degree,Caucasian or White,Donald Trump,5.1,,,,,,,,6.5,5.2,2.3,1.7,1.2,1.4,3.7
220,Yes,Female,Bachelor's Degree,Caucasian or White,Hillary Clinton,4.1,,,,,,,,4.1,3.3,5.2,3.9,3.8,2.6,3.5
159,Yes,Male,Master's Degree,Hispanic or Latino,Donald Trump,6.1,6.4,6.2,6.3,6.4,6.1,6.2,6.3,,,,,,,
136,Yes,Male,Bachelor's Degree,Caucasian or White,Hillary Clinton,7,1,1,1,6.2,4.7,2.9,7,,,,,,,
102,Yes,Male,Bachelor's Degree,Caucasian or White,Hillary Clinton,7,,,,,,,,1,1,1,7,7,7,6
84,Yes,Female,Some College,Asian,Hillary Clinton,5.4,1,1,1,5.8,3.8,2,5.4,,,,,,,
223,Yes,Female,Bachelor's Degree,Caucasian or White,Hillary Clinton,5,,,,,,,,1,1,1.5,3,2.5,1,5.5
137,Yes,Female,Bachelor's Degree,Caucasian or White,Hillary Clinton,6.3,5.1,5.2,7,1.1,1.1,1,3.5,,,,,,,
153,Yes,Female,Some College,Caucasian or White,Donald Trump,7,7,7,7,1,1,1,4,,,,,,,
145,Yes,Female,High School,Caucasian or White,Did not vote,6.1,1,1,1,7,7,7,5.1,,,,,,,
179,Yes,Male,Bachelor's Degree,Caucasian or White,Hillary Clinton,3,,,,,,,,1,1,4,5,4,2,6
101,Yes,Male,Master's Degree,African American or Black,Donald Trump,5.8,5.6,5.9,5.8,5,6.5,5.7,5.7,,,,,,,
207,Yes,Female,Doctoral Degree or Equivalent,Caucasian or White,Donald Trump,7,7,4.8,7,1.1,1.1,1.1,3.4,,,,,,,
119,Yes,Male,Some College,Other,Hillary Clinton,5.1,1,1,1.1,5,4.2,4.2,5.5,,,,,,,
185,Yes,Female,Some College,Caucasian or White,Other,6.1,,,,,,,,1,1,1,4.5,4.8,3.6,6.2
118,Yes,Male,Bachelor's Degree,Asian,Hillary Clinton,2.9,1.8,4.3,4.8,3.6,2.6,1.8,6.2,,,,,,,
286,Yes,Female,Some College,Caucasian or White,Hillary Clinton,6.6,,,,,,,,5,1.3,5.1,1.1,1.4,1.1,1.9
175,Yes,Female,High School,African American or Black,Hillary Clinton,4.7,,,,,,,,1.1,1,1.1,5.5,1.3,4.5,4.4
171,Yes,Male,Some College,Hispanic or Latino,Donald Trump,3,,,,,,,,6,3,2,2,3,1,5
203,Yes,Female,Some College,African American or Black,Hillary Clinton,4.2,,,,,,,,1.6,1,1.8,4.4,2.9,4.7,5
326,Yes,Female,High School,Caucasian or White,Donald Trump,5.7,,,,,,,,5.3,6.4,6.1,2.8,6.9,4.9,6
259,Yes,Female,High School,Caucasian or White,Hillary Clinton,6,,,,,,,,7,7,7,1.1,1.1,1.1,4
434,Yes,Male,Some College,Caucasian or White,Other,4,,,,,,,,4.8,2,6.5,2.5,1,1,4
245,Yes,Female,Some College,Caucasian or White,Donald Trump,7,,,,,,,,7,2,7,1,1,1,2
174,Yes,Male,Bachelor's Degree,Caucasian or White,Did not vote,3,1.1,1.1,1.1,1.9,1.1,1.1,4,,,,,,,
178,Yes,Male,Bachelor's Degree,Caucasian or White,Did not vote,2.8,,,,,,,,1,1,1,2.2,3.7,1,5.1
194,Yes,Male,Bachelor's Degree,Caucasian or White,Hillary Clinton,5.5,,,,,,,,7,4.5,4,1,1,1,1
354,Yes,Male,Master's Degree,Asian,Did not vote,7,,,,,,,,1,1,1,6,4,6,4
125,Yes,Male,Bachelor's Degree,Caucasian or White,Hillary Clinton,2.1,1,1.9,2,7,6.1,5.8,4,,,,,,,
234,Yes,Male,Bachelor's Degree,Caucasian or White,Other,6.6,,,,,,,,1,1,1,4,4.1,4,7
249,Yes,Male,Some College,Caucasian or White,Hillary Clinton,5,1,1,2,6,4,3,6,,,,,,,
89,Yes,Female,Some College,Caucasian or White,Hillary Clinton,4.2,1.7,1.1,3.7,4.6,4.6,4.2,6,,,,,,,
135,Yes,Male,Bachelor's Degree,Caucasian or White,Donald Trump,5.5,6,5,4.6,1.5,5,2.3,4,,,,,,,
254,Yes,Female,High School,Caucasian or White,Donald Trump,7,7,1,7,1,1,1,1,,,,,,,
161,Yes,Female,High School,Caucasian or White,Other,7,,,,,,,,7,7,7,3.9,4.7,2.8,4
182,Yes,Male,Some College,Caucasian or White,Other,3,1,1,1,2.9,1.9,2.1,4.6,,,,,,,
212,Yes,Female,Some College,Caucasian or White,Hillary Clinton,6.6,,,,,,,,1,1,2,7,6.1,6,6.1
156,Yes,Male,Bachelor's Degree,Hispanic or Latino,Did not vote,7,1,1,1.4,7,7,5,3.8,,,,,,,
147,Yes,Female,Bachelor's Degree,Caucasian or White,Donald Trump,5,,,,,,,,2,1,5.5,1,1,1,2.5
197,Yes,Male,Bachelor's Degree,Caucasian or White,Donald Trump,5.2,1,1,3.2,1,1,1,5.2,,,,,,,
169,Yes,Male,Bachelor's Degree,Caucasian or White,Did not vote,1.5,,,,,,,,2.5,1.1,4.5,2,1.1,1.1,1.1
118,Yes,Male,Some College,Caucasian or White,Did not vote,4.1,1.6,1.5,1.9,1.3,1.7,1.2,2.1,,,,,,,
446,Yes,Female,High School,Caucasian or White,Donald Trump,6.1,,,,,,,,6.7,1.2,6.1,1.8,1.9,6.5,6
169,Yes,Female,Some College,Caucasian or White,Donald Trump,7,7,7,6.5,1,1,1,3,,,,,,,
262,Yes,Male,Master's Degree,Caucasian or White,Donald Trump,7,,,,,,,,7,1.1,6.9,1,3,1,2
79,Yes,Male,Bachelor's Degree,Caucasian or White,Donald Trump,4.7,,,,,,,,6.2,2,3.6,3.4,3.3,4.6,3
127,Yes,Male,Bachelor's Degree,African American or Black,Hillary Clinton,4,,,,,,,,1,1,1,4,1,1,4
179,Yes,Female,Bachelor's Degree,Caucasian or White,Hillary Clinton,4.2,,,,,,,,1.4,1.4,1.7,1.6,2.3,1.7,4
172,Yes,Male,Some College,Caucasian or White,Hillary Clinton,5.1,,,,,,,,1,1,1,2.5,2.5,1.5,6.1
387,Yes,Male,High School,Caucasian or White,Did not vote,5.1,,,,,,,,7,4,4.6,1.6,2.8,2,4
299,Yes,Male,Some College,Caucasian or White,Donald Trump,5.1,,,,,,,,5,4.2,4.7,1,1,1,4.3
140,Yes,Female,Some College,Caucasian or White,Did not vote,5.8,,,,,,,,4.1,3.5,3.5,2.6,3.5,6.8,4.8
97,Yes,Male,Some College,Caucasian or White,Hillary Clinton,5,2.1,1.7,4.3,2.5,3.2,1.7,4,,,,,,,
199,Yes,Female,High School,Caucasian or White,Hillary Clinton,5.1,,,,,,,,1,1,1,2.2,2.1,2.1,5.6
175,Yes,Female,High School,Caucasian or White,Did not vote,5.1,7,1,3.1,2.9,4,1.8,4,,,,,,,
211,Yes,Female,Some College,Hispanic or Latino,Other,7,,,,,,,,1.1,1.1,1.3,5.8,5.3,2.7,7
232,Yes,Female,Doctoral Degree or Equivalent,Asian,Did not vote,7,,,,,,,,1,1,3.3,1.1,2.7,1.2,4
608,Yes,Male,Bachelor's Degree,Caucasian or White,Hillary Clinton,5,3,2.4,2.9,2.7,2.2,5.3,3.5,,,,,,,
322,Yes,Female,Bachelor's Degree,Caucasian or White,Hillary Clinton,4.4,,,,,,,,1,1,1,4.4,7,3.8,7
187,Yes,Female,Bachelor's Degree,Caucasian or White,Donald Trump,7,7,4,5,1,1,1,4,,,,,,,
431,Yes,Male,High School,African American or Black,Did not vote,4.1,3.8,3.2,3.3,3.8,4.1,4.2,4.2,,,,,,,
158,Yes,Male,Bachelor's Degree,Caucasian or White,Hillary Clinton,3.5,,,,,,,,1,1,1.5,5.5,3.8,4,4
235,Yes,Male,High School,Caucasian or White,Did not vote,5.5,6,4,6,1.3,1.1,1.3,3,,,,,,,
295,Yes,Female,High School,Caucasian or White,Donald Trump,4.6,,,,,,,,5,4.4,4.8,3.9,3.8,4.7,3.4
326,Yes,Male,Bachelor's Degree,Asian,Hillary Clinton,5,4.7,1.1,5.1,3.6,1.5,1.2,4.2,,,,,,,
122,Yes,Female,Master's Degree,Caucasian or White,Donald Trump,5,4.6,4,5,2,2,2,4,,,,,,,
175,Yes,Female,Master's Degree,Caucasian or White,Donald Trump,6.1,,,,,,,,7,4.5,7,1,1.1,1,5.2
136,Yes,Female,Bachelor's Degree,Caucasian or White,Donald Trump,6.5,,,,,,,,7,7,6.5,1,1,1,1.5
445,Yes,Male,Some College,Caucasian or White,Donald Trump,7,,,,,,,,7,7,7,1.1,1.1,1,4.1
111,Yes,Male,Master's Degree,Caucasian or White,Donald Trump,7,,,,,,,,5.4,6.2,5,4.7,3.8,6,5.3
186,Yes,Male,Master's Degree,Caucasian or White,Hillary Clinton,5,1.4,1.2,2.2,4.5,3.9,3,4,,,,,,,
692,Yes,Male,Bachelor's Degree,Asian,Donald Trump,4,3.5,1.5,5.5,2,2,1.5,4,,,,,,,
142,Yes,Male,Bachelor's Degree,Caucasian or White,Donald Trump,4.3,4.8,4.1,4.4,5.8,5.1,4.6,5.4,,,,,,,
411,Yes,Female,Bachelor's Degree,Caucasian or White,Donald Trump,6.5,6.7,6.2,5.7,6.4,5.9,6.1,6.1,,,,,,,
214,Yes,Male,Bachelor's Degree,Caucasian or White,Donald Trump,7,7,4,7,1,1,1,4,,,,,,,
146,Yes,Male,Master's Degree,Caucasian or White,Donald Trump,5.5,,,,,,,,3,1,7,3,3,1,5
192,Yes,Male,Master's Degree,Caucasian or White,Hillary Clinton,5,,,,,,,,1.1,6.9,1.1,3.9,1.1,2.6,6.5
208,Yes,Female,Master's Degree,Caucasian or White,Did not vote,5.5,,,,,,,,1,1,1,6,4,4,6
166,Yes,Male,Master's Degree,Caucasian or White,Donald Trump,5.7,,,,,,,,5.5,5.1,6.1,5.4,5,5.5,5.7
227,Yes,Female,Master's Degree,Caucasian or White,Hillary Clinton,7,,,,,,,,1,1,1,7,7,6,7
174,Yes,Male,Doctoral Degree or Equivalent,Caucasian or White,Hillary Clinton,6,,,,,,,,1,1,1,6,4,2,4.1
554,Yes,Female,High School,Caucasian or White,Hillary Clinton,3.9,,,,,,,,6.2,4.6,4.8,5.6,5.4,4,5.2
160,Yes,Male,Some College,Hispanic or Latino,Hillary Clinton,7,1,1,1,3.8,3.8,1,4,,,,,,,
154,Yes,Male,Some College,Caucasian or White,Donald Trump,6.8,,,,,,,,6.3,6.5,5.3,7,1.2,1.1,4.9
276,Yes,Male,High School,Caucasian or White,Did not vote,3,,,,,,,,1.1,1.1,1.9,2.9,6.2,1.6,5.1
283,Yes,Male,Some College,Caucasian or White,Hillary Clinton,4,1,1,2,5,4,2,4,,,,,,,
177,Yes,Male,Bachelor's Degree,Caucasian or White,Hillary Clinton,5,,,,,,,,6,5,6,1.9,1.2,1.2,4
169,Yes,Female,Bachelor's Degree,Caucasian or White,Hillary Clinton,6,,,,,,,,1,1,1,6,6,1,6.5
254,Yes,Male,Master's Degree,Caucasian or White,Hillary Clinton,7,,,,,,,,1,1.1,4,4.1,6,1.1,4
94,Yes,Female,Some College,Caucasian or White,Hillary Clinton,5.5,,,,,,,,1,1,2,5,4.9,5.4,5.8
156,Yes,Female,Some College,Caucasian or White,Donald Trump,6.8,5,6.1,7,1,1,1,4,,,,,,,
158,Yes,Female,Some College,Caucasian or White,Hillary Clinton,6.9,1,1,1,6.8,7,1,6.4,,,,,,,
263,Yes,Male,Master's Degree,Caucasian or White,Hillary Clinton,4.8,,,,,,,,1.9,1.9,4.9,3.8,2.7,1.9,4
159,Yes,Male,Bachelor's Degree,Hispanic or Latino,Hillary Clinton,3.5,3.2,3.2,2,6,5,2,4,,,,,,,
162,Yes,Male,Bachelor's Degree,Caucasian or White,Other,5.5,3.5,3,6,1.5,1,1,5,,,,,,,
120,Yes,Male,Bachelor's Degree,Caucasian or White,Donald Trump,6.8,,,,,,,,5.1,4.7,6.2,6,5.9,5.5,5.8
248,Yes,Female,Doctoral Degree or Equivalent,Caucasian or White,Hillary Clinton,4,,,,,,,,1,1,1.9,3,2.9,2.9,7
170,Yes,Male,Doctoral Degree or Equivalent,Native American or American Indian,Donald Trump,5.1,,,,,,,,3.5,4.5,5.1,5.2,5.2,4.4,4
142,Yes,Female,Bachelor's Degree,Caucasian or White,Did not vote,7,,,,,,,,4.9,1.1,7,1.1,1.1,1.1,1.1
164,Yes,Female,Some College,Caucasian or White,Hillary Clinton,4,1,1,1,3,6,3,4,,,,,,,
421,Yes,Female,Bachelor's Degree,Caucasian or White,Donald Trump,4.7,,,,,,,,4.4,3.4,3.3,3,3.2,2.4,3.8
162,Yes,Male,Bachelor's Degree,Asian,Donald Trump,5.7,,,,,,,,5.3,5.2,4.5,4.4,4,5.1,5.4
174,Yes,Male,Bachelor's Degree,Caucasian or White,Did not vote,4.5,2.6,2.2,4.5,1.1,1.3,1,4,,,,,,,
220,Yes,Female,Bachelor's Degree,Caucasian or White,Hillary Clinton,4,,,,,,,,1,1,1,7,7,7,4
258,Yes,Female,Some College,Caucasian or White,Donald Trump,4.1,1,1,3.6,1,1,1,1,,,,,,,
187,Yes,Male,Bachelor's Degree,Asian,Hillary Clinton,7,1,1,1,7,7,7,7,,,,,,,
158,Yes,Male,Bachelor's Degree,Asian,Did not vote,4,,,,,,,,1,5,4,5,4,4.5,4
