Duration (in seconds),Participation,Q1,Q2,Q3,Q4,Q5,I6,I7,I8,I9,I10,I11,I12,U6,U7,U8,U9,U10,U11,U12
194,Yes,Male,Bachelor's Degree,Asian,Hillary Clinton,5,2,1,3.5,4,4,2,4,,,,,,,
139,Yes,Male,Bachelor's Degree,Hispanic or Latino,Hillary Clinton,2,,,,,,,,1.8,1.4,1.9,6.1,5.1,3.5,4
470,Yes,Male,Bachelor's Degree,Hispanic or Latino,Donald Trump,1.9,,,,,,,,7,7,7,1,1,1,5.1
159,Yes,Male,Bachelor's Degree,Caucasian or White,Donald Trump,7,,,,,,,,7,2.2,7,1.1,1.1,1.1,2.4
101,Yes,Female,Some College,Hispanic or Latino,Hillary Clinton,7,,,,,,,,1,1,1,6.2,5.9,6,3.9
160,Yes,Male,Some College,African American or Black,Other,5.5,5.1,2.1,1.8,1.9,1.6,1,5.8,,,,,,,
176,Yes,Male,Master's Degree,Caucasian or White,Hillary Clinton,3.1,1,1,1.5,2,2,1.5,4,,,,,,,
177,Yes,Male,Some College,Caucasian or White,Did not vote,1.1,1.1,1.1,1.1,6,6,3,6,,,,,,,
242,Yes,Female,Some College,Caucasian or White,Donald Trump,7,,,,,,,,7,1,4,1,1,1,3
150,Yes,Female,Bachelor's Degree,Caucasian or White,Other,5.5,2.3,2.3,4.2,4.7,4.8,4.9,4.5,,,,,,,
292,Yes,Male,Bachelor's Degree,Caucasian or White,Donald Trump,5.1,3.5,4.7,5.3,3.2,3,4.9,5.1,,,,,,,
162,Yes,Male,Bachelor's Degree,Caucasian or White,Hillary Clinton,4.6,,,,,,,,1,1,1,5.9,6,4.1,4.6
266,Yes,Female,Some College,Hispanic or Latino,Did not vote,6,,,,,,,,2,1,1,5,3,1,5
490,Yes,Male,Bachelor's Degree,Caucasian or White,Hillary Clinton,4.6,2,1,2,2.6,5.1,5.2,5.6,,,,,,,
144,Yes,Male,Bachelor's Degree,Caucasian or White,Donald Trump,4,5,4,6,1,1,1,4,,,,,,,
183,Yes,Male,Master's Degree,Caucasian or White,Donald Trump,6.7,,,,,,,,6.8,6.5,6.6,6.7,6.3,6.8,6.8
195,Yes,Female,Bachelor's Degree,Caucasian or White,Donald Trump,5.6,6.3,1,7,1,1,1,3,,,,,,,
408,Yes,Male,Bachelor's Degree,Caucasian or White,Hillary Clinton,5,,,,,,,,1,1,1,6,5.5,2.5,7
100,Yes,Male,Doctoral Degree or Equivalent,Caucasian or White,Donald Trump,5.8,,,,,,,,5.1,5.8,6.2,1.4,1.3,1.1,3.8
195,Yes,Female,Bachelor's Degree,Caucasian or White,Other,2,,,,,,,,1,1,6.2,1,1,1,4
110,Yes,Female,High School,Hispanic or Latino,Donald Trump,7,,,,,,,,7,7,7,1.1,1.1,1.1,3
231,Yes,Female,Some College,Caucasian or White,Donald Trump,6.7,7,5,6.8,1,1,1,1,,,,,,,
225,Yes,Female,Some College,Caucasian or White,Donald Trump,7,7,1,7,1,1,1,4,,,,,,,
79,Yes,Male,Bachelor's Degree,Caucasian or White,Hillary Clinton,4.2,,,,,,,,3.6,4.9,4.9,4.4,3.5,4.7,5.5
232,Yes,Female,Doctoral Degree or Equivalent,Caucasian or White,Donald Trump,6.1,6.1,1.1,6.8,1.1,1.1,1.1,7,,,,,,,
292,Yes,Female,Bachelor's Degree,Caucasian or White,Hillary Clinton,2,1,1,1,5,2,3,2,,,,,,,
177,Yes,Female,High School,Caucasian or White,Donald Trump,6.2,,,,,,,,6.4,6.2,6.9,1.3,2,1,3.2
208,Yes,Female,Master's Degree,Caucasian or White,Donald Trump,7,,,,,,,,7,7,6.2,1,1.1,1,3.4
162,Yes,Male,High School,Hispanic or Latino,Did not vote,5.6,,,,,,,,6.1,1,5.7,1,1,1,4
215,Yes,Male,Some College,Caucasian or White,Donald Trump,7,4,3,7,1,1,1,4,,,,,,,
197,Yes,Male,High School,Caucasian or White,Hillary Clinton,7,1,1,1,7,7,7,7,,,,,,,
206,Yes,Female,Some College,Caucasian or White,Did not vote,7,,,,,,,,6,1,5,1.1,1.1,1.1,4
244,Yes,Female,Master's Degree,Caucasian or White,Hillary Clinton,6.1,1,1,1,5.9,4,4,6.4,,,,,,,
203,Yes,Female,Bachelor's Degree,African American or Black,Other,5.5,1,1,1,4,4,5,1,,,,,,,
57,Yes,Female,Some College,African American or Black,Donald Trump,4.5,4.5,4.4,4.4,3.9,4.6,5.5,5.8,,,,,,,
302,Yes,Male,Bachelor's Degree,Caucasian or White,Hillary Clinton,2.6,1,1,4,4.5,4.5,1.5,4,,,,,,,
148,Yes,Female,Bachelor's Degree,Caucasian or White,Hillary Clinton,5.1,1.3,1.6,1.6,5,4,4.7,6.6,,,,,,,
293,Yes,Female,Master's Degree,Caucasian or White,Hillary Clinton,7,,,,,,,,1,1,1,7,7,7,7
262,Yes,Male,Some College,Caucasian or White,Did not vote,3,,,,,,,,3.4,4.2,3.5,3.7,3.4,3.6,3
241,Yes,Male,High School,Caucasian or White,Hillary Clinton,5,1,1,1.5,6,2,3,7,,,,,,,
98,Yes,Female,Bachelor's Degree,Caucasian or White,Hillary Clinton,6.7,6,6.7,6.5,4.7,5.4,6,6.5,,,,,,,
147,Yes,Female,Bachelor's Degree,Caucasian or White,Donald Trump,6,7,3,7,1,1,1,1.7,,,,,,,
283,Yes,Male,High School,Caucasian or White,Hillary Clinton,6.4,,,,,,,,1,1,2.3,4.8,5.5,4.1,6.9
258,Yes,Female,Some College,Caucasian or White,Donald Trump,7,,,,,,,,7,3,7,1,1,1,1.2
71,Yes,Female,Master's Degree,Asian,Donald Trump,6.6,,,,,,,,4.9,5.6,5.4,5.5,5.2,6,4.8
236,Yes,Male,Bachelor's Degree,Caucasian or White,Donald Trump,6,7,1,7,1,1,1,4,,,,,,,
218,Yes,Female,Bachelor's Degree,Caucasian or White,Hillary Clinton,4,,,,,,,,1.1,1.1,1.1,7,5,5,7
290,Yes,Female,Some College,Caucasian or White,Did not vote,6.1,6,4,6.1,1.1,1.1,1.1,4,,,,,,,
54,Yes,Male,Bachelor's Degree,Caucasian or White,Donald Trump,3.9,4.2,3.6,4.1,1.1,1,1.1,3.6,,,,,,,
134,Yes,Male,Master's Degree,Hispanic or Latino,Hillary Clinton,4.4,,,,,,,,4.3,3.8,4.6,3.5,3.8,4.5,4.8
252,Yes,Female,Bachelor's Degree,Caucasian or White,Other,5,,,,,,,,3,2.9,3,4.9,4,1.5,5.8
130,Yes,Female,Master's Degree,Caucasian or White,Hillary Clinton,6,,,,,,,,1,1,1,7,7,6.1,6.5
259,Yes,Male,Master's Degree,Caucasian or White,Hillary Clinton,2.5,1,1,1,6,4,2,7,,,,,,,
94,Yes,Male,Master's Degree,Caucasian or White,Hillary Clinton,3.5,1,1.1,3,5,5,5,3,,,,,,,
231,Yes,Male,Some College,African American or Black,Did not vote,2.9,,,,,,,,1.9,1.9,1.9,5,5,4.9,4
186,Yes,Male,Master's Degree,Caucasian or White,Other,7,5,1.2,4,2.7,1.4,1.6,2,,,,,,,
183,Yes,Female,Doctoral Degree or Equivalent,Asian,Hillary Clinton,4.5,1,1,1,4,1,1,1,,,,,,,
329,Yes,Male,Some College,Caucasian or White,Hillary Clinton,4,1,1,1,6,6.5,2,4,,,,,,,
321,Yes,Male,Bachelor's Degree,Caucasian or White,Donald Trump,7,7,7,7,1,1,1,4,,,,,,,
160,Yes,Male,Master's Degree,Caucasian or White,Did not vote,2.1,2.2,2.4,5.8,5.8,5.5,1.6,3,,,,,,,
151,Yes,Male,Master's Degree,Caucasian or White,Hillary Clinton,2,,,,,,,,1,1,7,1,1,1,6
194,Yes,Female,Some College,Caucasian or White,Hillary Clinton,5,1.9,1.8,6.1,1.5,1.5,1.6,1.8,,,,,,,
49,Yes,Female,Bachelor's Degree,Asian,Other,4.5,4,4.1,4,3.8,3.8,3.8,3.9,,,,,,,
136,Yes,Female,Master's Degree,Caucasian or White,Donald Trump,3.5,2.6,3.9,2.6,1.3,2.3,1.6,1.3,,,,,,,
226,Yes,Female,Bachelor's Degree,African American or Black,Hillary Clinton,6.5,,,,,,,,1.9,1,4,6.8,4.5,4.8,6.3
212,Yes,Male,Bachelor's Degree,Caucasian or White,Hillary Clinton,4,,,,,,,,6,4,4,3,1,1,4
195,Yes,Female,High School,Caucasian or White,Hillary Clinton,5,,,,,,,,1,1,1,5,5.1,4,6.1
221,Yes,Male,Some College,Caucasian or White,Did not vote,3.9,2,3,3.1,2,1.2,1,4.1,,,,,,,
232,Yes,Female,High School,Hispanic or Latino,Donald Trump,3.5,,,,,,,,2.5,3.5,3.3,2.8,2.9,3.3,3
385,Yes,Male,Some College,Caucasian or White,Hillary Clinton,2.7,1,1,1,7,7,1,7,,,,,,,
120,Yes,Male,Master's Degree,Caucasian or White,Hillary Clinton,4,1,1,2,3.9,6,2.8,4,,,,,,,
545,Yes,Male,Some College,Caucasian or White,Other,4,5.1,5.2,5.2,1.1,1.1,1.2,4.6,,,,,,,
212,Yes,Male,Some College,Caucasian or White,Donald Trump,5.7,7,5.5,6.5,1.4,1,1,2,,,,,,,
121,Yes,Male,Some College,Caucasian or White,Donald Trump,5.4,7,4.1,7,1,1,1,7,,,,,,,
222,Yes,Male,Bachelor's Degree,Caucasian or White,Hillary Clinton,6.1,,,,,,,,1.1,1,1,7,7,7,7
254,Yes,Male,Some College,Caucasian or White,Did not vote,4.5,,,,,,,,2,1,1,2,1,1,4
349,Yes,Female,Bachelor's Degree,Hispanic or Latino,Did not vote,5.8,,,,,,,,5.2,6.5,1,1,1,1,1
132,Yes,Male,Bachelor's Degree,Hispanic or Latino,Other,6,6.9,6.6,6.2,1,1.1,1,2,,,,,,,
362,Yes,Female,Bachelor's Degree,Caucasian or White,Hillary Clinton,5.9,,,,,,,,3,1.7,2,6.1,2.9,6.1,6.6
268,Yes,Male,Bachelor's Degree,Caucasian or White,Other,4.2,4,2,5.1,1.2,1.2,1.2,6,,,,,,,
387,Yes,Female,Some College,Caucasian or White,Donald Trump,6,,,,,,,,4.6,1.9,5.2,6.3,5,4.5,4.8
145,Yes,Female,High School,Caucasian or White,Hillary Clinton,5.2,,,,,,,,1.3,1.4,2.2,2.3,3,1.5,7
96,Yes,Female,Master's Degree,African American or Black,Did not vote,5.4,,,,,,,,1.7,1.8,1.3,5,4.8,3.1,4.2
81,Yes,Male,Bachelor's Degree,Caucasian or White,Donald Trump,5.8,4.8,3.6,4.4,4.4,4.2,4.4,3.2,,,,,,,
392,Yes,Female,Doctoral Degree or Equivalent,Caucasian or White,Other,5,,,,,,,,1.1,1.1,2,6,5,1.2,4
187,Yes,Female,High School,African American or Black,Hillary Clinton,3.9,4.1,5.3,4.8,4.1,4.9,4.8,5.1,,,,,,,
272,Yes,Male,Some College,Asian,Donald Trump,6,,,,,,,,1,1,1,7,7,7,7
110,Yes,Male,Master's Degree,Caucasian or White,Hillary Clinton,7,1,1,1,6,3.5,3,3,,,,,,,
178,Yes,Male,High School,Caucasian or White,Other,2,,,,,,,,1,1,1,2,1,1,5
619,Yes,Male,Bachelor's Degree,Caucasian or White,Donald Trump,5,4,1.9,4.9,3.1,3.1,4.1,6.1,,,,,,,
267,Yes,Female,Bachelor's Degree,Caucasian or White,Other,4.5,,,,,,,,2.3,4.2,2.5,4.4,3.8,3.5,1.8
427,Yes,Male,Master's Degree,Caucasian or White,Hillary Clinton,5,1,1,1,7,7,3,6,,,,,,,
263,Yes,Female,Other,Other,Other,7,,,,,,,,1,1,1,3.5,3,2,5
81,Yes,Male,Some College,Caucasian or White,Hillary Clinton,5.5,,,,,,,,2.1,1.1,2.2,5.6,5.6,5.9,5.8
269,Yes,Male,Some College,Caucasian or White,Donald Trump,5.6,6.5,4.6,6,1,1.5,1,5.5,,,,,,,
165,Yes,Female,Some College,Caucasian or White,Hillary Clinton,4,,,,,,,,1,1,1,4,4,4.1,4
412,Yes,Female,Master's Degree,Caucasian or White,Hillary Clinton,3.4,1.1,1.1,1.9,5,5,5.1,6.3,,,,,,,
190,Yes,Male,Some College,Caucasian or White,Donald Trump,6,2,1.1,1.1,1.8,7,1.3,7,,,,,,,
228,Yes,Female,Some College,Caucasian or White,Donald Trump,5,,,,,,,,3,5,5,1.5,1,1,4
356,Yes,Male,Bachelor's Degree,African American or Black,Other,4.9,1,1,3,7,7,3,4,,,,,,,
104,Yes,Male,Some College,Caucasian or White,Hillary Clinton,4,1.9,1,1,3,2,3,4,,,,,,,
185,Yes,Female,Some College,Caucasian or White,Donald Trump,7,7,4,7,1,1,1,1.5,,,,,,,
270,Yes,Male,High School,Caucasian or White,Did not vote,3,2,1,2.5,5.5,5,5.5,4,,,,,,,
289,Yes,Female,Bachelor's Degree,African American or Black,Hillary Clinton,7,2,2,5,2,3,2,4,,,,,,,
233,Yes,Male,Bachelor's Degree,Caucasian or White,Donald Trump,7,7,7,7,1,1,1,4,,,,,,,
116,Yes,Male,High School,Caucasian or White,Donald Trump,7,7,7,7,1.1,1.1,1.1,2,,,,,,,
247,Yes,Male,Some College,Caucasian or White,Other,2,1.1,1.1,1.7,5.5,5,2,5,,,,,,,
187,Yes,Male,Bachelor's Degree,Caucasian or White,Hillary Clinton,5,,,,,,,,1,1,1,7,7,2,5
125,Yes,Female,Bachelor's Degree,Hispanic or Latino,Did not vote,5,,,,,,,,1,1,1,7,7,7,7
134,Yes,Male,High School,African American or Black,Donald Trump,4,,,,,,,,3.6,6.3,2.9,2.3,4.3,4.9,5
187,Yes,Female,Master's Degree,African American or Black,Hillary Clinton,4,1,1,1.9,2,2,1,6.2,,,,,,,
349,Yes,Male,Bachelor's Degree,African American or Black,Hillary Clinton,6.6,,,,,,,,6.5,5.9,5.9,5.4,6,6.5,6.5
431,Yes,Female,Some College,Caucasian or White,Hillary Clinton,5,,,,,,,,1,1,6.2,2,2,1,4.1
204,Yes,Male,High School,Caucasian or White,Donald Trump,7,,,,,,,,7,3.8,6.9,1,1,1,1
240,Yes,Female,Master's Degree,Caucasian or White,Did not vote,5,6.4,1,7,1,1,1,3,,,,,,,
402,Yes,Male,Bachelor's Degree,Caucasian or White,Donald Trump,6,,,,,,,,5.9,5.9,3.3,6,5.3,4.9,5.2
143,Yes,Male,Bachelor's Degree,Hispanic or Latino,Donald Trump,6,7,4.5,1,1,1,1,7,,,,,,,
78,Yes,Male,Some College,Caucasian or White,Hillary Clinton,5.4,,,,,,,,3.2,2.7,1.5,2.6,2.5,2.7,6.1
140,Yes,Female,Some College,Caucasian or White,Did not vote,5.9,,,,,,,,1,1,1,7,7,4.5,7
264,Yes,Male,Some College,Caucasian or White,Donald Trump,6.4,,,,,,,,6.3,4,5.4,1.2,1.1,1.2,4
144,Yes,Female,Bachelor's Degree,Caucasian or White,Donald Trump,7,7,1,7,1,1,1,5,,,,,,,
135,Yes,Male,Some College,Caucasian or White,Donald Trump,5.3,,,,,,,,4.5,1.5,6.3,1.5,1,1,4
169,Yes,Female,Some College,Caucasian or White,Hillary Clinton,3,1.8,1.1,2.2,6.8,4,3.8,7,,,,,,,
755,Yes,Female,Some College,Caucasian or White,Donald Trump,7,7,1.1,1.1,1.2,1.2,1.2,1.1,,,,,,,
162,Yes,Female,Some College,Caucasian or White,Donald Trump,7,7,4.1,7,1,1,1,2,,,,,,,
181,Yes,Male,Bachelor's Degree,Caucasian or White,Hillary Clinton,5,4,1.1,3,2,2.5,1.7,4,,,,,,,
194,Yes,Female,Master's Degree,Native American or American Indian,Hillary Clinton,5.4,,,,,,,,3.9,3.5,6.6,2.9,3.3,6.8,4.9
166,Yes,Male,Master's Degree,Caucasian or White,Donald Trump,4.5,,,,,,,,3.4,2.5,1.6,1.1,1.1,1.1,2.6
125,Yes,Female,Master's Degree,Asian,Hillary Clinton,6,,,,,,,,1,1,1,1.7,7,1.7,5
113,Yes,Female,Master's Degree,Caucasian or White,Hillary Clinton,5.4,,,,,,,,1,1,1,7,7,7,4
188,Yes,Male,Some College,Caucasian or White,Did not vote,5.4,,,,,,,,1.1,1.1,2.3,3,2.4,2.6,5.6
263,Yes,Male,Master's Degree,Caucasian or White,Donald Trump,5.8,6.6,1.4,4,1.2,1.1,1.3,5,,,,,,,
163,Yes,Male,Some College,Caucasian or White,Hillary Clinton,6,3.9,2.7,3.5,5.3,3,2.3,6,,,,,,,
134,Yes,Female,Bachelor's Degree,Caucasian or White,Did not vote,7,1,2.5,2.5,4.5,4.9,1.1,4.7,,,,,,,
191,Yes,Male,Bachelor's Degree,Caucasian or White,Other,5.1,2,1.1,7,1,1,1,3,,,,,,,
190,Yes,Male,Some College,Caucasian or White,Donald Trump,7,7,5,7,1,1,1,1,,,,,,,
122,Yes,Female,Bachelor's Degree,Caucasian or White,Hillary Clinton,4.6,1,1,1,7,7,5.9,6.8,,,,,,,
229,Yes,Male,Bachelor's Degree,Caucasian or White,Donald Trump,5.1,,,,,,,,6.1,4.1,7,1,1.1,1,4
251,Yes,Male,Bachelor's Degree,Caucasian or White,Hillary Clinton,3,,,,,,,,1,1,1,1.1,1.9,1.1,6
90,Yes,Male,High School,African American or Black,Donald Trump,5.4,,,,,,,,5.5,3.5,5.6,4.5,5,6.8,5.3
313,Yes,Male,Some College,Caucasian or White,Hillary Clinton,4,1,1,1,7,7,7,7,,,,,,,
162,Yes,Male,Bachelor's Degree,Hispanic or Latino,Hillary Clinton,7,,,,,,,,1.8,2,1.1,4.4,7,3.5,5.9
231,Yes,Female,Some College,Caucasian or White,Hillary Clinton,5.1,3,2,6,1.1,1.1,1.1,1.4,,,,,,,
109,Yes,Male,Bachelor's Degree,Caucasian or White,Donald Trump,7,7,7,7,1,1,1,2,,,,,,,
207,Yes,Male,Some College,Caucasian or White,Did not vote,6,6,3,6,1.5,1,1,4,,,,,,,
139,Yes,Male,Some College,Caucasian or White,Other,2.8,4,1,3,4,3.1,3.4,5.6,,,,,,,
225,Yes,Male,Some College,Caucasian or White,Other,4,1,1,1,4,5,5,4.9,,,,,,,
169,Yes,Female,High School,Caucasian or White,Did not vote,5,3.4,4.1,4.9,1,2.3,1,3,,,,,,,
248,Yes,Male,Some College,Caucasian or White,Donald Trump,7,,,,,,,,7,2.3,6.3,1,1,1,2.5
197,Yes,Male,Master's Degree,African American or Black,Hillary Clinton,6,1,1,1,7,7,4,4,,,,,,,
139,Yes,Female,Bachelor's Degree,Hispanic or Latino,Donald Trump,7,7,3.9,6.8,1,1,1,5,,,,,,,
168,Yes,Male,Bachelor's Degree,Caucasian or White,Did not vote,3,,,,,,,,6,6,2,1,1,1,1
424,Yes,Male,Master's Degree,Caucasian or White,Donald Trump,6.1,6.2,3.9,4.5,3.3,3.9,3.6,5.1,,,,,,,
133,Yes,Female,Some College,Caucasian or White,Hillary Clinton,6,4.4,1,5.8,1.1,1.3,1.1,5.4,,,,,,,
253,Yes,Male,Master's Degree,Caucasian or White,Hillary Clinton,7,,,,,,,,1,1,1,1.9,3,1.1,4
228,Yes,Male,Master's Degree,Caucasian or White,Donald Trump,6.8,6.9,4,7,1,1.1,1,4,,,,,,,
379,Yes,Female,Some College,Caucasian or White,Hillary Clinton,5.1,,,,,,,,1,1,1.1,1.2,1.3,1.2,4
997,Yes,Male,Master's Degree,Caucasian or White,Hillary Clinton,6,1,1,1,7,2,3,4,,,,,,,
195,Yes,Female,Some College,Native American or American Indian,Did not vote,5,6,3,4,1,1,1,3.5,,,,,,,
679,Yes,Female,Bachelor's Degree,Other,Did not vote,2.2,,,,,,,,1,1,1,7,7,7,7
166,Yes,Male,High School,Caucasian or White,Other,1,2,2,2,4,1,1,3.5,,,,,,,
159,Yes,Male,Some College,Caucasian or White,Donald Trump,5,,,,,,,,4.8,2.8,4.8,1.8,2.2,1.8,1.9
179,Yes,Female,Master's Degree,Caucasian or White,Hillary Clinton,7,,,,,,,,1.3,1.4,1.4,7,7,1.8,7
124,Yes,Female,Bachelor's Degree,Caucasian or White,Donald Trump,4.8,,,,,,,,4.1,4.5,4.9,5.7,4.1,4.2,5.3
343,Yes,Male,Bachelor's Degree,Caucasian or White,Hillary Clinton,5,,,,,,,,1,1,1,5.5,6,4.5,7
322,Yes,Female,Bachelor's Degree,Caucasian or White,Donald Trump,6.7,6.2,5.8,6.3,7,6.1,5.9,6.5,,,,,,,
140,Yes,Male,Some College,Caucasian or White,Hillary Clinton,6,1,1,1,5.9,4,6.8,7,,,,,,,
97,Yes,Female,Bachelor's Degree,Caucasian or White,Hillary Clinton,4.9,1,1,1,4,4,4.2,4,,,,,,,
310,Yes,Male,Some College,Caucasian or White,Did not vote,6,,,,,,,,4,3,6.1,2,2,1,4
153,Yes,Female,Bachelor's Degree,Caucasian or White,Hillary Clinton,5.1,1,1,1,2,3.1,1,4,,,,,,,
219,Yes,Male,Bachelor's Degree,Caucasian or White,Donald Trump,5.7,3.9,6.2,6,1,1,1,2.1,,,,,,,
187,Yes,Male,Some College,Caucasian or White,Hillary Clinton,5,,,,,,,,1,1,1,2.5,2.5,1,5
139,Yes,Male,Bachelor's Degree,Caucasian or White,Hillary Clinton,5.2,,,,,,,,1,1,1,6.5,6.1,7,7
262,Yes,Female,Some College,Caucasian or White,Did not vote,5.9,5,1,4.9,1,1,1,5,,,,,,,
224,Yes,Male,High School,Caucasian or White,Did not vote,5,,,,,,,,4,1.5,4,4.4,6.7,4.4,4
204,Yes,Male,Doctoral Degree or Equivalent,Asian,Did not vote,5.1,1.4,1.2,4.2,3.4,3.9,4.3,4,,,,,,,
104,Yes,Male,Bachelor's Degree,Caucasian or White,Other,2,1,1,1,7,7,7,7,,,,,,,
117,Yes,Female,Some College,Caucasian or White,Donald Trump,7,,,,,,,,7,7,7,1,1,1,1
175,Yes,Female,Bachelor's Degree,Caucasian or White,Hillary Clinton,4.1,,,,,,,,4.2,4,4.1,1,1,1,4.1
139,Yes,Male,Bachelor's Degree,Caucasian or White,Hillary Clinton,7,,,,,,,,1,1,4,2,3,2,7
481,Yes,Female,Master's Degree,Other,Hillary Clinton,7,,,,,,,,1,1,1,5,5,5,5.5
325,Yes,Male,Bachelor's Degree,Caucasian or White,Donald Trump,6.2,,,,,,,,6.1,5.5,3.3,3.8,5.3,3.2,5.8
271,Yes,Female,Bachelor's Degree,Caucasian or White,Hillary Clinton,4.5,,,,,,,,1,1,1.5,5,3.5,4.5,6
302,Yes,Male,Bachelor's Degree,Caucasian or White,Donald Trump,5,,,,,,,,1.9,1,4.1,3.9,3,3.2,4.7
149,Yes,Female,Some College,Caucasian or White,Other,5.1,2,2,1,1,1,1,3,,,,,,,
119,Yes,Male,Bachelor's Degree,Caucasian or White,Hillary Clinton,6,1,1,1,6.3,6.3,6.2,6.3,,,,,,,
296,Yes,Female,Bachelor's Degree,Caucasian or White,Donald Trump,5,,,,,,,,7,3.4,5.8,1,1.1,1,4.5
462,Yes,Female,Bachelor's Degree,African American or Black,Donald Trump,2.7,,,,,,,,2.3,1.5,1.6,1,2.8,1,2.4
305,Yes,Female,Bachelor's Degree,Caucasian or White,Other,5.3,,,,,,,,1,1.2,1.8,2,2,2,4.5
123,Yes,Male,Some College,Caucasian or White,Donald Trump,7,,,,,,,,7,7,7,1,1,1,1
105,Yes,Male,Some College,Caucasian or White,Did not vote,6,,,,,,,,1,1,1,7,7,7,6.2
234,Yes,Female,Bachelor's Degree,Caucasian or White,Donald Trump,7,7,1,7,1,1,1,4,,,,,,,
136,Yes,Male,Some College,Hispanic or Latino,Other,5,1,1.9,2.3,1,1,1,1.4,,,,,,,
255,Yes,Male,Doctoral Degree or Equivalent,Caucasian or White,Donald Trump,5.4,,,,,,,,3.4,6.4,6.2,5.2,5,6.8,4.1
213,Yes,Male,Bachelor's Degree,Caucasian or White,Hillary Clinton,5.1,1.9,1,1.6,4.3,4.5,5.2,4,,,,,,,
225,Yes,Female,Bachelor's Degree,Caucasian or White,Other,7,,,,,,,,6.1,3.9,7,1,1,1,1
125,Yes,Male,Some College,Caucasian or White,Hillary Clinton,5,1.8,1,2.5,2.7,2.3,1.5,3,,,,,,,
122,Yes,Male,Bachelor's Degree,Caucasian or White,Donald Trump,4.5,,,,,,,,4,4.8,4.1,4.7,5.1,3.8,4.5
302,Yes,Male,Bachelor's Degree,Caucasian or White,Donald Trump,6.1,6.2,6.4,5.4,6.2,5.3,5.8,6.4,,,,,,,
290,Yes,Female,Bachelor's Degree,Asian,Hillary Clinton,6.1,,,,,,,,6.7,2.1,6.2,4,4,3.9,4
153,Yes,Female,High School,Caucasian or White,Did not vote,7,,,,,,,,4.2,1,7,1,1,1,7
216,Yes,Male,Bachelor's Degree,Caucasian or White,Hillary Clinton,6,1,1,1,6.4,6,1.2,6.9,,,,,,,
197,Yes,Male,Bachelor's Degree,Caucasian or White,Hillary Clinton,4.5,4.7,6.1,5.7,4.6,6.3,3.5,4.4,,,,,,,
236,Yes,Female,High School,Caucasian or White,Donald Trump,4.7,3,3,5,3.4,2,1.1,5.5,,,,,,,
356,Yes,Male,Some College,Hispanic or Latino,Hillary Clinton,4.1,1,1,1,1,1,1,6,,,,,,,
152,Yes,Male,Bachelor's Degree,Caucasian or White,Other,6,,,,,,,,7,7,7,1,1,1,1.1
348,Yes,Female,Master's Degree,Caucasian or White,Hillary Clinton,6.1,1,1,4.5,5,7,5,4,,,,,,,
103,Yes,Female,Master's Degree,Caucasian or White,Hillary Clinton,7,,,,,,,,1.5,1.5,2,6.9,6.8,2.7,7
